 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
83,Tyler Eifert,TE7,CIN,9,46,126,85.26470588,16.627951,62
84,Blake Bortles,QB9,JAC,5,13,158,83.79104478,22.39638651,70
85,Marvin Jones,WR37,DET,10,50,122,87.55223881,16.31799993,92
86,Tom Brady,QB10,NE,9,36,179,87.56716418,28.10546443,73
87,Kevin White,WR38,CHI,9,57,147,87.56716418,16.90555316,82
88,T.J. Yeldon,RB33,JAC,5,35,128,88.89552239,18.51029107,83
89,Gary Barnidge,TE8,CLE,13,40,139,92.22058824,17.63172741,86
90,Philip Rivers,QB11,SD,11,56,129,91.88059701,16.27242186,101
91,Rashad Jennings,RB34,NYG,8,58,175,92.98507463,18.73339467,96
92,Ladarius Green,TE9,PIT,8,60,169,96.76470588,20.18452935,93
93,Zach Ertz,TE10,PHI,4,70,149,97.20588235,15.16823192,94
94,Julius Thomas,TE11,JAC,5,53,149,99.19117647,15.53672817,102
95,DeAngelo Williams,RB35,PIT,8,45,163,98.68656716,26.79006775,99
96,Josh Gordon,WR39,CLE,13,52,229,96.6,35.31824545,155
97,Arian Foster,RB36,MIA,8,49,161,97.66153846,23.68724222,109
98,Torrey Smith,WR40,SF,8,51,186,103.7058824,22.43687801,122
99,Justin Forsett,RB37,BAL,8,49,197,103.0895522,24.50387197,85
100,Willie Snead,WR41,NO,5,77,148,103.5151515,14.33922616,116
101,Antonio Gates,TE12,SD,11,75,143,106.6617647,15.16537299,121
102,Tony Romo,QB12,DAL,7,61,164,106.9701493,22.13052875,98
103,Charles Sims,RB38,TB,6,66,180,105.8939394,21.73471514,115
104,Derek Carr,QB13,OAK,10,49,155,109.1791045,18.6386898,110
105,Markus Wheaton,WR42,PIT,8,76,168,111.5735294,17.63128584,108
106,Corey Coleman,WR43,CLE,13,60,187,106.21875,22.59387967,104
107,Isaiah Crowell,RB39,CLE,13,62,174,108.9076923,20.73994516,119
108,Sterling Shepard,WR44,NYG,8,70,182,108.0625,20.04126602,95
109,Tavon Austin,WR45,LA,8,54,172,112.761194,22.24899096,124
110,Vincent Jackson,WR46,TB,6,80,177,114.9264706,17.99372127,128
111,Laquon Treadwell,WR47,MIN,6,65,194,113,21.05743063,118
112,Kirk Cousins,QB14,WAS,9,70,182,114.5909091,25.02300594,123
113,Dorial Green-Beckham,WR48,TEN,13,60,194,115.0454545,22.77587228,112
114,Andy Dalton,QB15,CIN,9,65,181,116.5223881,21.79165814,120
115,Stefon Diggs,WR49,MIN,6,68,179,116.8507463,19.3029684,107
116,Tyrod Taylor,QB16,BUF,10,65,165,116.9402985,19.47741179,143
117,Jameis Winston,QB17,TB,6,65,193,119.358209,20.65978969,135
118,Steve Smith,WR50,BAL,8,57,197,120.1343284,25.10627889,105
119,Derrick Henry,RB40,TEN,13,67,177,116.765625,23.37382496,97
120,Travis Benjamin,WR51,SD,11,73,191,121.6119403,21.46983668,129
121,Marcus Mariota,QB18,TEN,13,64,186,122.5074627,22.60984671,141
122,Tevin Coleman,RB41,ATL,11,39,172,120.140625,22.414328,126
123,Dwayne Allen,TE13,IND,10,50,209,124.8208955,23.45839466,179
124,Matthew Stafford,QB19,DET,10,67,170,123.6363636,19.29251414,144
125,LeGarrette Blount,RB42,NE,9,81,177,121.1746032,26.22342324,114
126,Eric Ebron,TE14,DET,10,84,193,125.1060606,17.79268558,163
127,Kamar Aiken,WR52,BAL,8,77,216,125,24.78343701,174
128,Matt Ryan,QB20,ATL,11,94,195,130.0746269,18.14889778,151
129,Kenneth Dixon,RB43,BAL,8,78,185,124.9655172,24.551821,125
130,Ryan Tannehill,QB21,MIA,8,58,195,134.4848485,23.99762768,160
131,Jimmy Graham,TE15,SEA,5,99,180,135.641791,19.57663967,111
132,Theo Riddick,RB44,DET,10,98,191,130.0327869,20.64132987,131
133,C.J. Prosise,RB45,SEA,5,55,197,130.6101695,23.7722363,137
134,Jordan Howard,RB46,CHI,9,82,201,130.8135593,23.1468961,142
135,Bilal Powell,RB47,NYJ,11,97,177,135.9354839,20.48750285,156
136,Phillip Dorsett,WR53,IND,10,88,185,139.5625,21.52678201,169
137,Seattle Seahawks,DST1,SEA,5,113,200,139.1269841,15.84697864,89
138,Jason Witten,TE16,DAL,7,100,196,142.8955224,19.69402844,154
139,Josh Doctson,WR54,WAS,9,58,231,137.9180328,28.88092858,130
140,Denver Broncos,DST2,DEN,11,109,199,141.3809524,15.18189039,90
141,Devin Funchess,WR55,CAR,7,91,188,138.9166667,22.54202865,168
142,Mohamed Sanu,WR56,ATL,11,100,196,142.0483871,21.1526155,177
143,Martellus Bennett,TE17,NE,9,99,190,146.0606061,21.02587064,153
144,Javorius Allen,RB48,BAL,8,83,205,134.962963,25.22121606,136
145,Michael Thomas,WR57,NO,5,87,312,142.7118644,32.17434015,150
146,Zach Miller,TE18,CHI,9,101,184,143.0819672,19.0515221,194
147,Kendall Wright,WR58,TEN,13,88,207,146.516129,23.3526554,218
148,Austin Seferian-Jenkins,TE19,TB,6,107,219,150.1587302,24.91586245,159
149,Karlos Williams,RB49,BUF,10,80,232,143.9259259,36.98791187,100
150,Arizona Cardinals,DST3,ARI,9,110,197,152,16.55806424,106
151,Jay Cutler,QB22,CHI,9,111,260,156.7460317,23.07198415,202
152,Terrance Williams,WR59,DAL,7,101,213,155.6612903,21.93387684,161
153,Mike Wallace,WR60,BAL,8,100,204,152.0178571,27.49447417,187
154,Jerick McKinnon,RB50,MIN,6,109,203,151.5636364,21.09525034,165
155,Rishard Matthews,WR61,TEN,13,96,202,154.5517241,21.28312624,236
156,Carolina Panthers,DST4,CAR,7,119,196,157.5737705,14.08226302,103
157,Shane Vereen,RB51,NYG,8,101,197,151.4339623,23.55684368,196
158,DeAndre Washington,RB52,OAK,10,29,195,148.3061224,29.96610608,170
159,Darren McFadden,RB53,DAL,7,74,203,150.84,29.32736606,132
160,Joe Flacco,QB23,BAL,8,101,226,158.2241379,21.96709381,213
161,Pierre Garcon,WR62,WAS,9,91,194,157.9107143,20.35074304,211
162,Jordan Cameron,TE20,MIA,8,105,209,162.968254,20.11867036,217
163,Ryan Fitzpatrick,QB24,NYJ,11,88,243,155.4509804,31.32956614,222
164,Paul Perkins,RB54,NYG,8,94,193,152.3061224,19.87327616,158
165,Houston Texans,DST5,HOU,9,128,230,159.5454545,18.57840211,117
166,Sammie Coates,WR63,PIT,8,115,315,159.8076923,29.40240601,197
167,Charles Clay,TE21,BUF,10,114,210,163.440678,20.41540726,242
168,James Starks,RB55,GB,4,107,203,161.1272727,21.76239839,133
169,Devontae Booker,RB56,DEN,11,96,295,160.76,32.20593734,138
170,Darren Sproles,RB57,PHI,4,83,199,162.2653061,26.4681368,149
171,Nelson Agholor,WR64,PHI,4,108,205,164.0196078,23.31665247,235
172,Alex Smith,QB25,KC,5,120,266,168.4181818,24.07616015,192
173,Chris Hogan,WR65,NE,9,97,316,165.2765957,34.047965,186
174,Breshad Perriman,WR66,BAL,8,105,230,160.8837209,26.42427469,162
175,Los Angeles Rams,DST6,LA,8,125,222,169.3461538,16.69625086,147
176,Jared Cook,TE22,GB,4,92,245,170.1960784,23.31709766,208
177,Chris Johnson,RB58,ARI,9,94,204,165.1627907,26.22171143,145
178,Ted Ginn,WR67,CAR,7,113,212,172.7358491,21.06696506,180
179,Steve Johnson,WR68,SD,11,127,223,174.7962963,22.51203763,271
180,Clive Walford,TE23,OAK,10,116,227,174.245283,19.69187713,226
181,Tyler Boyd,WR69,CIN,9,121,314,171.4545455,29.63294738,200
182,Anquan Boldin,WR70,DET,10,103,219,169.5238095,30.35365993,199
183,Brock Osweiler,QB26,HOU,9,130,234,176.8653846,20.32905163,183
184,Wendell Smallwood,RB59,PHI,4,86,224,171.4186047,28.27294915,234
185,Tim Hightower,RB60,NO,5,114,218,172.6428571,23.0174069,198
186,Kyle Rudolph,TE24,MIN,6,134,257,178.8627451,21.57251302,246
187,Spencer Ware,RB61,KC,5,124,309,178.225,37.63408528,229
188,Will Tye,TE25,NYG,8,106,258,177.6590909,26.3041158,254
189,Rueben Randle,WR71,PHI,4,122,219,177.8333333,21.89875694,267
190,Will Fuller,WR72,HOU,9,119,317,180.2888889,30.91179007,172
191,Charcandrick West,RB62,KC,5,115,225,178.4222222,23.16941364,148
192,Chris Thompson,RB63,WAS,9,92,239,176.1282051,25.4912549,216
193,Kansas City Chiefs,DST7,KC,5,129,232,178.8222222,20.25096858,127
194,New England Patriots,DST8,NE,9,127,215,182.3269231,14.92896147,152
195,Alfred Morris,RB64,DAL,7,139,250,179.7948718,23.99591791,140
196,Ronnie Hillman,RB65,DEN,11,120,240,182.1,28.21418083,171
197,Vance McDonald,TE26,SF,8,116,293,184,31.84101129,264
198,Benjamin Watson,TE27,BAL,8,134,244,185.2666667,26.25380396,233
199,Jeff Janis,WR73,GB,4,110,219,182.9069767,21.82681725,223
200,Josh Ferguson,RB66,IND,10,116,263,182.4827586,35.54658982,237
201,Buffalo Bills,DST9,BUF,10,128,292,194.4,34.24164132,173
202,Kenyan Drake,RB67,MIA,8,135,241,184.4117647,25.65164557,175
203,Cameron Artis-Payne,RB68,CAR,7,125,248,195.1111111,33.473686,201
204,Cincinnati Bengals,DST10,CIN,9,134,237,189.6944444,25.95489618,185
205,Jaelen Strong,WR74,HOU,9,101,231,191.0555556,29.23938026,249
206,Brandon LaFell,WR75,CIN,9,127,249,192.9,25.90057914,279
207,Shaun Draughn,RB69,SF,8,150,280,197.15625,34.76088802,252
208,Richard Rodgers,TE28,GB,4,139,265,191.3939394,29.11829519,228
209,Bruce Ellington,WR76,SF,8,120,248,186.68,35.51306239,
210,Teddy Bridgewater,QB27,MIN,6,131,261,193.5581395,24.87859108,164
211,Robert Woods,WR77,BUF,10,140,257,193.5757576,29.2947718,289
212,Robert Griffin,QB28,CLE,13,112,270,190.5,33.10161124,210
213,Kenny Britt,WR78,LA,8,121,245,191.8,31.02837411,285
214,Andre Ellington,RB70,ARI,9,145,226,191.972973,21.94401536,255
215,Davante Adams,WR79,GB,4,137,252,198.5128205,26.66974834,240
216,Minnesota Vikings,DST11,MIN,6,129,237,198.4705882,30.95749961,189
217,New York Jets,DST12,NYJ,11,149,230,194.7391304,17.19003096,157
218,Christine Michael,RB71,SEA,5,73,279,195.6896552,33.96154361,258
219,Jermaine Kearse,WR80,FA,,146,249,201.3030303,28.67105482,188
220,C.J. Spiller,RB72,NO,5,118,250,195.9032258,26.70550848,257
221,Danny Amendola,WR81,NE,9,149,238,200.8125,25.42567293,207
222,James White,RB73,NE,9,123,277,203,28.90947208,260
223,Sam Bradford,QB29,PHI,4,150,269,201.15625,26.52488145,262
224,Zach Zenner,RB74,DET,10,120,242,196.0416667,28.08392062,247
225,Ka'Deem Carey,RB75,CHI,9,140,250,208.3666667,29.68443288,232
226,Victor Cruz,WR82,NYG,8,149,249,204.3703704,27.11859844,178
227,Stephen Gostkowski,K1,NE,9,105,227,209.24,32.82594096,113
228,Tyler Ervin,RB76,HOU,9,143,259,208.6666667,34.37237724,224
229,Seth Roberts,WR83,OAK,10,89,272,203.125,33.30204261,256
230,Keith Marshall,RB77,WAS,9,137,242,205,28.65627014,231
231,Darrius Heyward-Bey,WR84,PIT,8,127,238,198.4705882,31.3689949,277
232,Green Bay Packers,DST13,GB,4,131,251,198.2307692,35.83542263,214
233,Blaine Gabbert,QB30,SF,8,138,317,214.6666667,38.49840236,300
234,Khiry Robinson,RB78,NYJ,11,150,279,216.4736842,37.54908145,268
235,Pharoh Cooper,WR85,LA,8,155,263,209.7142857,29.28861774,220
236,David Cobb,RB79,TEN,13,144,277,207.75,41.53337012,261
237,Justin Hardy,WR86,ATL,11,137,318,212.9444444,41.25593859,
238,Miami Dolphins,DST14,MIA,8,90,302,210.1428571,70.50112172,238
239,Mark Sanchez,QB31,DEN,11,144,252,208,29.58377934,
240,Tajae Sharpe,WR87,TEN,13,126,266,212.6428571,37.32024947,
241,Oakland Raiders,DST15,OAK,10,151,253,204.2727273,35.58112602,190
242,Nate Washington,WR88,NE,9,122,245,206.5294118,29.78968958,288
243,Mike Gillislee,RB80,BUF,10,137,248,194.4444444,32.81974714,266
244,Pittsburgh Steelers,DST16,PIT,8,142,286,210.1818182,44.30846047,182
245,Jared Goff,QB32,LA,8,143,311,216.2777778,37.29880182,184
246,Jacksonville Jaguars,DST17,JAC,5,94,276,213,63.20337544,209
247,Brandon Coleman,WR89,NO,5,147,245,214.0555556,27.77783333,293
248,Colin Kaepernick,QB33,SF,8,155,268,215.7272727,36.13381924,275
249,Geno Smith,QB34,NYJ,11,147,244,211.8571429,30.19899985,
250,Jace Amaro,TE29,NYJ,11,171,289,216.1052632,29.5437138,
251,Tampa Bay Buccaneers,DST18,TB,6,91,300,253.6,81.51466126,215
252,Cleveland Browns,DST19,CLE,13,96,311,228.3333333,94.53864583,274
253,Jamison Crowder,WR90,WAS,9,170,249,215.2173913,23.3181335,278
254,Chicago Bears,DST20,CHI,9,97,299,244,85.13812307,205
255,Eddie Royal,WR91,CHI,9,154,273,224.4545455,28.73662103,
256,Antonio Andrews,RB81,TEN,13,135,281,228.8888889,46.33559813,282
257,Cameron Brate,TE30,TB,6,151,243,214.1875,24.23896334,
258,Albert Wilson,WR92,KC,5,158,294,210,36.41977485,307
259,Lance Kendricks,TE31,LA,8,159,291,220.3636364,26.34136991,
260,Maxx Williams,TE32,BAL,8,166,272,219.6666667,25.99145159,
261,Leonte Carroo,WR93,MIA,8,172,235,197.8888889,18.55588822,
262,Brian Quick,WR94,LA,8,139,272,221.5454545,35.52045156,
263,Steven Hauschka,K2,SEA,5,152,258,214,34.52897334,134
264,Lance Dunbar,RB82,DAL,7,124,281,228.8571429,35.14430891,263
265,Chandler Catanzaro,K3,ARI,9,160,295,223,45.26114701,203
266,Graham Gano,K4,CAR,7,158,299,227.1666667,48.8037453,139
267,Austin Hooper,TE33,ATL,11,175,239,210.1666667,16.69414402,
268,Dan Bailey,K5,DAL,7,153,290,223.2857143,43.90806722,166
269,Jonathan Williams,RB83,BUF,10,161,278,217.5,41.18555572,292
270,Chris Conley,WR95,KC,5,157,280,219.1818182,33.05867561,
271,Braxton Miller,WR96,HOU,9,177,283,222.4444444,37.13671771,
272,Justin Tucker,K6,BAL,8,154,279,219.4285714,39.21682271,146
273,Jacob Tamme,TE34,ATL,11,175,292,222.7142857,28.4991944,
274,Detroit Lions,DST21,DET,10,142,299,250.5,63.26333851,241
275,Alfred Blue,RB84,HOU,9,167,310,229.7272727,38.14110383,280
276,Paxton Lynch,QB35,DEN,11,157,296,214.3333333,59.29774213,281
277,Andre Johnson,WR97,FA,,169,179,174,5,
278,DeAndre Smelter,WR98,SF,8,182,232,209.6363636,18.36633644,290
279,Mason Crosby,K7,GB,4,156,276,230.3333333,41.57590114,195
280,Adam Vinatieri,K8,IND,10,155,284,232.5,43.39642842,191
281,Jimmy Garoppolo,QB36,NE,9,156,256,215.6666667,43.05293899,
282,Philadelphia Eagles,DST22,PHI,4,176,298,235.7142857,46.65592685,248
283,Josh Brown,K9,NYG,8,157,288,242.5,50.59891303,243
284,Blair Walsh,K10,MIN,6,159,296,236.8,49.97359303,176
285,Josh McCown,QB37,CLE,13,159,281,224.3333333,50.18189138,
286,Cordarrelle Patterson,WR99,MIN,6,160,249,218.6666667,41.49163236,
287,Owen Daniels,TE35,FA,,173,289,227.3333333,37.96782263,
288,Marques Colston,WR100,FA,,174,242,201,25.07987241,
289,J.J. Nelson,WR101,ARI,9,163,251,215.8888889,25.06189868,302
290,Jeff Heuerman,TE36,DEN,11,164,290,225.2857143,37.56029167,
291,Kenny Stills,WR102,MIA,8,185,273,222.1538462,25.86606376,297
292,Larry Donnell,TE37,NYG,8,166,258,227,24.33561633,
293,Stevan Ridley,RB85,DET,10,169,319,247,51.1038159,295
294,Vernon Davis,TE38,WAS,9,171,318,243.3333333,43.83555127,
295,Baltimore Ravens,DST23,BAL,8,171,308,265,48.27007354,225
296,Philly Brown,WR103,CAR,7,177,270,214,40.27406113,305
297,Benny Cunningham,RB86,LA,8,184,240,214,21.22666786,294
298,Cole Beasley,WR104,DAL,7,182,264,226.7647059,24.2330096,296
299,TJ Jones,WR105,DET,10,174,285,241,43.62911872,309
300,Crockett Gillmore,TE39,BAL,8,175,314,253.3333333,58.10526845,
301,Cairo Santos,K11,KC,5,176,275,234.75,38.8675636,245
302,Rashard Higgins,WR106,CLE,13,178,309,241.8,42.56477417,
303,Quinton Patton,WR107,SF,8,178,292,240.6666667,47.22522866,
304,Darren Fells,TE40,ARI,9,179,303,229.3333333,53.24367464,
305,Joique Bell,RB87,FA,,189,261,213.6666667,33.47967875,
306,Chris Boswell,K12,PIT,8,180,306,249,43.49252809,167
307,Andre Williams,RB88,NYG,8,181,263,229,24.52209888,287
308,James Jones,WR108,FA,,181,249,215,34,212
309,Ryan Griffin,TE41,HOU,9,183,293,230.4,35.38135102,
310,Tre Mason,RB89,LA,8,184,248,221.6666667,17.50555467,273
311,Devin Smith,WR109,NYJ,11,192,268,221.75,31.30794628,
312,Brent Celek,TE42,PHI,4,187,265,236,25.98461083,298
313,Hunter Henry,TE43,SD,11,187,259,226,20.73644135,221
314,Charles Johnson,WR110,MIN,6,187,249,218,31,
315,Virgil Green,TE44,DEN,11,189,307,242,48.91489207,
316,Ty Montgomery,WR111,GB,4,189,305,233,32.85574531,
317,Washington Redskins,DST24,WAS,9,189,300,252.6666667,46.76418383,291
318,Matt Prater,K13,DET,10,191,277,247,39.63163719,251
319,Roberto Aguayo,K14,TB,6,192,290,245.6666667,40.54901013,227
320,Cody Latimer,WR112,DEN,11,192,278,246.25,33.60338525,
321,Marqise Lee,WR113,JAC,5,192,274,238.2,31.87726463,310
322,Carson Wentz,QB38,PHI,4,193,285,235.25,34.31016613,276
323,Roddy White,WR114,FA,,195,268,231.5,36.5,308
324,Brandon McManus,K15,DEN,11,197,310,264.1666667,36.66704545,204
325,Leonard Hankerson,WR115,BUF,10,198,229,213.5,15.5,
326,Cecil Shorts,WR116,HOU,9,199,293,243.1666667,35.95560534,
327,Kelvin Taylor,RB90,SF,8,199,284,241.5,42.5,
328,Alex Collins,RB91,SEA,5,200,240,217.2,16.11707169,
329,Nick Foles,QB39,FA,,204,266,235,31,
330,Kenny Bell,WR117,TB,6,212,304,247.6666667,31.97221016,
331,Garrett Celek,TE45,SF,8,220,285,245.2,21.6,
332,Tyler Higbee,TE46,LA,8,220,239,232.8,6.615134163,
333,Mike Thomas,WR118,LA,8,221,246,233.5,12.5,
334,Rashad Greene,WR119,JAC,5,224,294,259,35,
335,Denard Robinson,RB92,JAC,5,227,288,264.8,22.88580346,
336,Andrew Hawkins,WR120,CLE,13,228,249,241.25,7.949056548,
337,New York Giants,DST25,NYG,8,233,290,253.3333333,25.97862369,239
338,Malcolm Mitchell,WR121,NE,9,234,238,236,2,
339,Luke Willson,TE47,SEA,5,236,254,242,7.348469228,
340,Robert Turbin,RB93,IND,10,241,267,251.6666667,11.11555467,269
341,Mike Tolbert,RB94,CAR,7,241,248,243.6666667,3.091206165,283
342,Dexter McCluster,RB95,TEN,13,241,248,244.5,3.5,303
343,Brian Hartline,WR122,FA,,247,295,271,24,
344,New Orleans Saints,DST26,NO,5,249,305,277,28,
345,Indianapolis Colts,DST27,IND,10,253,301,278.3333333,19.68643075,
346,Robbie Gould,K16,CHI,9,255,307,282,21.27596453,265
347,Matt Bryant,K17,ATL,11,270,306,287.6666667,14.70449667,253
348,Josh Hill,TE48,NO,5,272,286,279,7,
349,Nick Novak,K18,HOU,9,280,308,292,11.77568116,286
350,Atlanta Falcons,DST28,ATL,11,288,302,295,7,
351,Dallas Cowboys,DST29,DAL,7,289,296,292.5,3.5,206
352,San Diego Chargers,DST30,SD,11,291,297,294,3,
353,San Francisco 49ers,DST31,SF,8,292,304,298,6,
354,Tennessee Titans,DST32,TEN,13,293,303,298,5,
